Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, East",11,"Goreville Rd. underpass, South River",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",520,"North Creek Bridge, 3 km west of Hwy 11, Magnetawan",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","11, To be assigned","1 km north of Stirling Creek Rd. to Muskoka Rd. overpass, Sundridge",Resurfacing,Planned,2027-2028,,9,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",124,West junction of Hwy 520 to McKellar,Resurfacing,Planned,2027-2028,,17.8,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",17,"South of Hwy 101 southerly, south of Wawa","Resurfacing, Bridge rehabilitation, Paved shoulders, Culvert replacement",Planned,2027-2028,,21.6,$25 to $100 million,Design underway,To be determined
Rehab,2027-2028,"North, East","518, 592","Star Lake Rd. to the junction of Hwy 11/518 and Deer Lake Rd. to the north junction of Hwy 11, Emsdale",Resurfacing,Planned,2027-2028,,4.3,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",To be assigned,"Pickeral River Bridge, Bigwood",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",11,Trout Creek Bridges,Bridge rehabilitation,Planned,2027-2028,,0,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","17, To be assigned","East junction of Regional Rd. 55 to Hwy 69, Sudbury",Resurfacing,Planned,2027-2028,,12.5,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","101, 17","East of Hwy 17 easterly to Hwy 547, Wawa easterly and Catfish Creek Culvert 2, north of Wawa","Resurfacing, Culvert rehabilitation",Planned,2027-2028,2023-5096,18,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, East",101,"Salve (Painkiller) Creek Bridge, Matheson",Bridge rehabilitation,Planned,Not available,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",101,"ONR crossing easterly, Timmins",Resurfacing,Planned,2027-2028,,17.3,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",112,"Murdock Creek and unnamed culvert, 5.8 km south of Hwy 66, Kirkland Lake",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment in procurement,To be determined
